Name,Gender,Movies,Picture
Rocky Morton,Male,2,/neGDKDOkpWJ5mmEzn3YaEp1mmWn.jpg
Andrew Fleming,Male,5,/eKmrsArF6QebMIlIHDXY537Smo6.jpg
Henry Selick,Male,1,/pYMsa4c6eLnmwStLnI9w5wWsAK.jpg
George P. Cosmatos,Male,5,/6DIKPjnDvr7oHgTPHTXM5te45Qt.jpg
D.A. Pennebaker,Male,6,/n762JR4KaAouvTeb5LGHxWa2i87.jpg
Chris Hegedus,Female,4,/uGqzwRfTlVIluKh5p5EBAyNdI3m.jpg
Jennifer Warren,Female,1,/aJ6AfAKlCwrhD1PaZGt3QLKMtml.jpg
Todd Solondz,Male,3,/9qRwwtUTviJLA1td24BMhWxfCbn.jpg
Claude Berri,Male,4,/1gpsO0gdsHJPhUzFGMHvE3Qo5yZ.jpg
Dennis Hopper,Male,4,/56nj2DfMVU3F9qUagZWMePLbrKF.jpg
Guillermo del Toro,Male,4,/aBPPwt3jcFw2ridEkKTgchfPaic.jpg
Pedro Almodóvar,Male,11,/9dc8NqjMnOcZ8EiUvaAQiMiT4Tz.jpg
Lina Wertmüller,Female,2,/baT0AuD8ZfRlR3R6zNJloBa1n2x.jpg
Rob Epstein,Male,4,/2Dt2pa7G45FOedK281eCplnLNOS.jpg
Mathieu Kassovitz,Male,1,/h0LpOBDRawf5pSiVqlHOuoI2ain.jpg
Nanni Moretti,Male,1,/klvWTsWeVbuZFOY9IJXJEr5PQvk.jpg
Betty Thomas,Female,3,/bK7UYbIjcK7AfeUan6h2xVTbuF3.jpg
Tim Burton,Male,5,/yHEHAHQpN9PfSEQx1UxZPczhcAi.jpg
Hamilton Luske,Male,6,/xeyWJsFlMtgjyfZnnElMnc6qFF6.jpg
Ben Sharpsteen,Male,1,/1dfzGLuG0n4IeR6ONjAFuhh8Kli.jpg
Huang Jianxin,Female,1,/sD2vujivL6rZ2HQDmlKmXx7qADs.jpg
Sam Weisman,Male,4,/xTUHl1nYyGoTqcEfAxuiFq82Xcr.jpg
Bill Condon,Male,2,/wYS9OCX85SJQWdjQokWVgmX7PQX.jpg
Stephen Poliakoff,Male,1,/iPYxc7UoblWxHNxBxhKvsoxGvO1.jpg
David R. Ellis,Male,1,/ww2HEkXJadls2XyDvQCJKzy6ly.jpg
Gerald Potterton,Male,1,/wrRT4tWMHE3QfEE6OTZsHtlvIFG.jpg
Franco Zeffirelli,Male,6,/iQgff2OioCGBFuVhxTYzR35VwWB.jpg
Wolfgang Reitherman,Male,8,/p9ywBLS3Pvv3BcocjLsPwnll6mc.jpg
Fernando Trueba,Female,4,/u0o8Oelx0KPL037RBxlNaB6G4Sa.jpg
Werner Herzog,Male,12,/uzVcWEmasjz1Wl7w5mBF5vmmHlK.jpg
Mika Kaurismäki,Male,2,/w7Hf3cfWEL73H82v46w4eh4NF65.jpg
Martin Lawrence,Male,2,/uBVQuIdS3wGCpYaZFEeKZBuiZ2l.jpg
Stacy Title,Female,1,/oT9c0UOPTVJBsY66nKSiBUpnz2Y.jpg
Gregory Hoblit,Male,2,/8HyVUTApvgRwz9cl11R7R8TBPqh.jpg
Ken Loach,Male,9,/jMMjA5IeYFueu9P9FGBYH0kqYRO.jpg
Todd Verow,Female,1,/lnZC0URgX3oeazK9SCxjyYsyCQe.jpg
Jonathan Lynn,Male,4,/nvMGnGbGdXrRvGAjulNqhJWUB9c.jpg
Tim Sullivan,Male,1,/nUIPyx3sEiltVPu5HOTnPwkx4aY.jpg
Jeremiah S. Chechik,Male,2,/avEcJTGsWFEzxpSOutwhkP3adQ8.jpg
Sönke Wortmann,Female,1,/27V2lklRPa8KzRbuYKVgxq7nTgz.jpg
Joseph Vilsmaier,Male,3,/wODSEku2wnqYiDfMKiANzX5bE2K.jpg
Anthony Hopkins,Male,1,/jdoBTIru71FbPuHGEgox5RVmIO0.jpg
Joe Pytka,Male,2,/c46Ah1KxlfC4W8mHVrGDsJ7dMPJ.jpg
Roger Vadim,Male,3,/oftdq5DjC1loKRBLP4KfKauuc5e.jpg
George Hickenlooper,Male,4,/t7R8Lecq6HR0N9CIwiuiPEPt2N0.jpg
Gordon Willis,Male,1,/6gOmfatlF7UdhaHi2tPsZMb5vmz.jpg
Margarethe von Trotta,Female,5,/inHCKINOzP9gby9zCIMm902i1ln.jpg
Michael Winterbottom,Male,7,/hnzUhUXiWy7ThflTzPTRb869mnB.jpg
Zalman King,Female,4,/clzECAkYw1DKbAQTNoTBKjmpUZb.jpg
John Cassavetes,Male,7,/dvW9LHWNcgvRLqCom5jhx2T3aIG.jpg
Michael Lehmann,Male,3,/rM0KmE5Fr9zAi5gzQv9bc78Q1GX.jpg
Betty Kaplan,Female,1,/3eiaVTXHzHggD8OA8qzR4Gsigfj.jpg
