Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Ice Age: Collision Course,Action,105,http://www.iceagemovies.com/films/ice-age-collision-course,English,Set after the events of Continental Drift  Scrat's epic pursuit of his elusive acorn catapults him outside of Earth  where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril  Manny  Sid  Diego  and the rest of the herd leave their home and embark on a quest full of thrills and spills  highs and lows  laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.,/gRi7lTBBiRBhn9aJID5MdldcJEJ.jpg,Blue Sky Studios,2016,Medium,409,One small step. One giant mess.,5.6,Comedy  Family  Adventure
X2,SF & Fantasy,110,,English,Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm  Wolverine and Jean Grey must join their usual nemeses –  Magneto and Mystique – to unhinge Stryker's scheme to exterminate all mutants.,/8TAPuoephNAiRGgBobP4xQl0QGK.jpg,Twentieth Century Fox Film Corporation,2003,Medium,408,The time has come for those who are different to stand united.,6.8,Action  Science Fiction  Adventure  Thriller
Pacific Rim,Action,180,http://www.pacificrimmovie.com/,English,When legions of monstrous creatures  known as Kaiju  started rising from the sea  a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju  a special type of weapon was devised: massive robots  called Jaegers  which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat  the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together  they stand as mankind's last hope against the mounting apocalypse.,/sCJEwEShZvruTpQ2a4yiX3Q9EyZ.jpg,Legendary Pictures,2013,Medium,408,To Fight Monsters  We Created Monsters,6.7,Action  Science Fiction  Adventure
The Mummy,Action,125,http://www.themummy.com,English,Though safely entombed in a crypt deep beneath the unforgiving desert  an ancient queen whose destiny was unjustly taken from her is awakened in our current day  bringing with her malevolence grown over millennia  and terrors that defy human comprehension.,/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,Universal Pictures,2017,Medium,408,Welcome To A New World of Gods And Monsters,5.4,Action  Adventure  Thriller
Signs,Drama,72,,English,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,/bY9lCUVUajpkKWlfjWF1mtXaSUp.jpg,Kennedy/Marshall Company,2002,Medium,408,It’s not like they didn’t warn us.,6.4,Science Fiction  Drama  Thriller
Prometheus,SF & Fantasy,130,http://www.projectprometheus.com/,English,A team of explorers discover a clue to the origins of mankind on Earth  leading them on a journey to the darkest corners of the universe. There  they must fight a terrifying battle to save the future of the human race.,/ng8ALjSDhUmwLl7vtjUWIZNQSlt.jpg,Twentieth Century Fox Film Corporation,2012,Medium,403,The Search for Our Beginning Could Lead to Our End.,6.3,Science Fiction  Adventure
The Mummy: Tomb of the Dragon Emperor,Action,145,http://www.themummy.com/,English,Archaeologist Rick O'Connell travels to China  pitting him against an emperor from the 2 000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time  O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.,/53hrZvxiV3HgG6pdhuMeErIc7Hg.jpg,Universal Pictures,2008,Medium,401,A New Evil Awakens.,5.2,Action  Fantasy  Adventure
The Lake House,Romance,40,http://wwws.warnerbros.de/thelakehouse/,English,A lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident  a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.,/tHpc1118dYWLnHZleGhwZxRbpae.jpg,Village Roadshow Pictures,2006,Medium,400,How do you hold on to someone you've never met?,6.5,Drama  Romance
The Ugly Truth,Romance,38,http://www.thetruthisntpretty.com/,English,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love. His clever ploys  however  lead to an unexpected result.,/xbIEfRy1qLYyChHc3cqaYLIWdVS.jpg,Lakeshore Entertainment,2009,Medium,400,The battle of the sexes is on.,6.4,Comedy  Romance
Hanging Up,Drama,40,,English,A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father  to whom none of them was particularly close.,/lnnFFGhIXi6ZDU3r29eKHKTHdq0.jpg,Laurence Mark Productions,2000,Medium,400,Every family has a few hang-ups.,5.0,Comedy  Drama
