Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Charlie's Angels,Action,92,,English,Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan  Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair  stop traffic with a smile and kick butt. The differences are the unsubtle humor  the martial arts training and the high-tech premise: This time  they're hot on the trail of stolen software.,/eBzf9d09Vgq2HSVC4fIZm1QNQd.jpg,Columbia Pictures,2000,Small,314,Get Some Action,5.6,Action  Comedy  Adventure  Thriller
Street Fighter: The Legend of Chun-Li,SF & Fantasy,50,,English,When a teenager  Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up  she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.,/8FJ8A4R48mqM6zoGB9uOlPisZmr.jpg,Twentieth Century Fox Film Corporation,2009,Small,314,Some fight for power. Some fight for us.,3.9,Action  Science Fiction  Adventure  Thriller
Kicking & Screaming,Comedy,45,,English,Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son  Sam  is following in his footsteps. But with becoming the coach of The Soccers  an already successful soccer team  everything changes.,/dUuB69V9QTbvRFCasweftCQwiV.jpg,Universal Pictures,2005,Small,314,One man could lead this team to glory. . . That man was busy,5.6,Comedy  Family  Romance
The Dictator,Comedy,65,http://www.dictatorthemovie.com/,English,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,/uAvG211cGNKSFyPzXFVMZzjkBB8.jpg,Paramount Pictures,2012,Small,314,kurd,5.9,Comedy
Chicken Little,Comedy,150,http://movies.disney.com/chicken-little,English,When the sky really is falling and sanity has flown the coop  who will rise to save the day? Together with his hysterical band of misfit friends  Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.,/iLMALbInUmbNn1tHmxJEWm5MyjP.jpg,Walt Disney Pictures,2005,Small,314,When it comes to saving the world  it helps to be a little chicken.,5.6,Comedy  Family
The Physician,Drama,32,,English,The story of Rob Cole  a boy who is left a penniless orphan in an 11th-century English mining town when his mother dies of a mysterious illness. Vowing to become a physician and vanquish Death itself  he travels to Isfahan in Persia to study medicine under the great Ibn Sina. Through countless ordeals and challenges  and making many sacrifices along the way  he struggles on unwaveringly. His unflagging quest for knowledge leads to the blossoming of friendship and true love.,/zOnuvmY4vuabnkEZwQAXvErIaTE.jpg,ARD Degeto Film,2013,Small,314,,7.2,Drama  Adventure
As Good as It Gets,Romance,50,,English,New York City. Melvin Udall  a cranky  bigoted  obsessive-compulsive writer  finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition  Carol  the only waitress who will tolerate him  must leave work to care for her sick son  making it impossible for Melvin to eat breakfast.,/q2645aW8vgg1g7RL5lil6K93yaA.jpg,Gracie Films,2009,Small,314,A comedy from the heart that goes for the throat.,7.2,Comedy  Romance
The Island,Action,126,http://www.theisland-themovie.com/,English,"In 2019  Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment  Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",/erprD7GIkvZz2KM4Z35eyTJKZMI.jpg,DreamWorks SKG,2005,Small,314,Your time will come...,6.5,Action  Science Fiction  Adventure  Thriller
A Beautiful Mind,Drama,60,http://www.abeautifulmind.com/,English,At Princeton University  John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching  becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes  which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..,/4SFqHDZ1NvWdysucWbgnYlobdxC.jpg,Imagine Entertainment,2001,Small,314,I need to believe that something extra ordinary is possible...,7.7,Drama  Romance
Savages,Thriller,45,http://www.savagesfilm.com/,English,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,/ecN4PGSU6zhYlAUL8Jh4qyE2um9.jpg,Ixtlan,2012,Small,314,Young Beautiful Deadly.,6.2,Drama  Thriller
Interview with the Vampire,Horror,60,,English,A vampire relates his epic life story of love  betrayal  loneliness  and dark hunger to an over-curious reporter.,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,Geffen Pictures,2019,Small,314,Drink from me and live forever,7.2,Romance  Horror
Pay It Forward,Romance,40,,English,Like some other kids  12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids  he was determined to change the world for the better. Unlike most other kids  he succeeded.,/l5diVKdxKMUkn4jOAxASbbGtSl1.jpg,Bel Air Entertainment,2000,Small,314,When someone does you a big favor  don't pay it back... Pay It Forward,7.0,Drama  Romance
Switchback,Action,37,,English,FBI agent Dennis Quaid tries to catch a serial killer who kidnapped his son.,/cGUECqzHTEmzfMmvqDAG7wI6reQ.jpg,Paramount Pictures,2018,Small,314,The hunter becomes the hunted.,5.8,Action  Adventure  Thriller
Now You See Me,Thriller,75,,Other,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,/A06e9YJ5ry3WXEIFIAD1mKBxcuZ.jpg,Summit Entertainment,2013,Small,314,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,7.3,Thriller
What Dreams May Come,Drama,85,,English,Chris Neilson dies to find himself in a heaven more amazing than he could have ever dreamed of. There is one thing missing: his wife. After he dies  his wife  Annie killed herself and went to hell. Chris decides to risk eternity in hades for the small chance that he will be able to bring her back to heaven.,/rNQH6Q8RPXD59aqGckST3CKQbCf.jpg,PolyGram Filmed Entertainment,2007,Small,314,After life there is more. The end is just the beginning.,6.8,Fantasy  Drama  Romance
True Grit,Drama,38,http://www.truegritmovie.com/,English,"Following the murder of her father by hired hand Tom Chaney  14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her  she hires the toughest U.S. Marshal she can find  a man with ""true grit "" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn  whose drinking  sloth  and generally reprobate character do not augment her faith in him. Against his wishes  she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf  who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey  and each has his or her ""grit"" tested.",/qc7vaF5fIeTllAykdP3wldlMyRh.jpg,Paramount Pictures,2010,Small,314,Punishment Comes One Way or Another.,7.2,Drama  Adventure
Congo,Drama,50,,English,Eight people embark on an expedition into the Congo  a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.,/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg,Paramount Pictures,2012,Small,314,Where you are the endangered species.,5.0,Action  Science Fiction  Drama  Adventure  Thriller
The Good German,Romance,32,http://www.the-good-german.de,English,An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett.,/3LjHC2CWDkzoiPehf3GViujws0.jpg,Warner Bros.,2006,Small,314,If war is Hell  then what comes after?,5.9,Drama  Thriller  Romance
Hotel for Dogs,Comedy,35,,English,Placed in a foster home that doesn't allow pets  16-year-old Andi and her younger brother  Bruce  turn an abandoned hotel into a home for their dog. Soon other strays arrive  and the hotel becomes a haven for every orphaned canine in town. But the kids have to do some quick thinking to keep the cops off their tails.,/l8bidcFpDFrAUDM9QL8FdsLGgk2.jpg,DreamWorks SKG,2009,Small,314,No stray gets turned away.,5.7,Comedy  Family
Anastasia,Family,53,,English,This animated adventure retells the story of the lost daughter of Russia's last czar. The evil Rasputin places a curse on the Romanov family  and Anastasia and her grandmother  Empress Maria  get separated. After growing up in an orphanage  Anastasia encounters two Other men seeking a reward offered by Empress Maria for the return of her granddaughter. The trio travels to Paris  where they find that the empress has grown skeptical of imposters.,/dKJ6OOYlHGPARKidvP1kYJjXW29.jpg,Twentieth Century Fox Film Corporation,2006,Small,313,Discover the Adventure Behind the Greatest Mystery of Our Time.,7.4,Family
Lions for Lambs,Action,35,,English,Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter  detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage.,/iLuo4swOCHF2a8BlaxXZGdqETUs.jpg,Cruise/Wagner Productions,2007,Small,313,If you don't STAND for something  you might FALL for anything.,6.0,Action  Drama  Adventure
Zoom,Family,35,,English,"Jack Shepard is an out-of-shape auto shop owner  far removed from the man who once protected the world's freedom. Reluctantly called back into action by the government  Jack is tasked with turning a rag tag group of kids with special powers into a new generation of superheroes to save the world from certain destruction. Based on Jason Lethcoe's graphic novel ""Zoom's Academy for the Super Gifted"".",/so67uRr24dSQLt9YyZgBP5pNtc3.jpg,Columbia Pictures,2006,Small,313,They're going to save the world... as long as they're home for dinner.,4.9,Comedy  Fantasy  Family
封神传奇,Action,38,http://leagueofgodsmovie.com/leagueofgods/,Chinese,During the reign of King Zhou (Tony Leung Ka-fai)  an official enters his bedchamber  and is devoured by the monstrous tails of Daji (Fan Bingbing)  his concubine. Outside their city  several warriors within a metal wagon discuss their strategies to free the Invisible People and their Chief  when Jiang Ziya (Jet Li) appears to them. He tells them that when King Zhou was younger  he let himself become possessed by the Black Dragon for his quest for power.,/1ZmR8sNDVw3goJurVPAoPaJXFNW.jpg,Distant Horizons,2016,Small,313,,5.0,Action  Fantasy
Starship Troopers,SF & Fantasy,105,,Chinese,"Set in the future  the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",/zeCD9WkhABFJmPq3SlTozXJGEtr.jpg,TriStar Pictures,2002,Small,313,The only good bug is a dead bug.,6.7,Action  Science Fiction  Adventure  Thriller
Sweet November,Romance,40,,Chinese,Nelson is a man devoted to his advertising career in San Francisco. One day  while taking a driving test at the DMV  he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.,/unObEztpIx6gmVAKe0p1VWHMcDI.jpg,Bel Air Entertainment,2001,Small,313,She Just Needed A Month To Change His Life For Ever.,6.4,Drama  Romance
Eraser,Action,100,http://www.warnerbros.com/eraser,Chinese,U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen  who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program  he must guard his own life while trying to protect Lee's.,/bmOG5k07nrnS8T49NVPM1LnrOf1.jpg,Kopelson Entertainment,2008,Small,313,He will erase your past to protect your future.,5.6,Action  Drama  Thriller
The Road,Drama,32,http://www.theroad-movie.com/,Chinese,A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones  and  when the snow falls it is gray. The sky is dark. Their destination is the warmer south  although they don't know what  if anything  awaits them there.,/o34ARieL8kqGzcMnSksJ6OGPRK2.jpg,2929 Productions,2009,Small,313,In a moment the world changed forever.,6.8,Drama  Adventure
Inkheart,Action,60,http://www.inkheartmovie.com/,Chinese,The adventures of a father and his young daughter  in their search for a long lost book that will help reunite a missing  close relative.,/3yIVMwPDrWLeZ8fJ5HLbGWnCz9f.jpg,New Line Cinema,2008,Small,313,Every story ever written is just waiting to become real.,6.0,Fantasy  Family  Adventure
Drive Angry,SF & Fantasy,50,http://www.driveangry3d.com/,Chinese,Milton is a hardened felon who has broken out of Hell  intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with Piper  a sexy  tough-as-nails waitress with a 69 Charger  who's also seeking redemption of her own. Caught in a deadly race against time  Milton has three days to avoid capture  avenge his daughter's death  and save her baby before she's mercilessly sacrificed by the cult.,/afYwV0EAO8YLRyrTnNaSRysDrCh.jpg,Summit Entertainment,2011,Small,313,One hell of a ride.,5.3,Action  Fantasy  Thriller
The Expendables 2,Action,100,http://theexpendables2film.com/,Chinese,Mr. Church reunites the Expendables for what should be an easy paycheck  but when one of their men is murdered on the job  their quest for revenge puts them deep in enemy territory and up against an unexpected threat.,/dJPnTe1qOcO7XqsJvESFph83m6m.jpg,Nu Image Films,2012,Small,313,Back for War.,6.1,Action  Adventure  Thriller
Poseidon,Action,160,http://www2.warnerbros.com/poseidon/,Chinese,A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave  compelling the passengers to begin a dramatic fight for their lives.,/yeiCuwMSHLmf7NoYzxiEAjkJHkg.jpg,Virtual Studios,2006,Small,312,Mayday,5.5,Action  Drama  Adventure  Thriller
13 Going on 30,Comedy,37,,Chinese,After total humiliation at her thirteenth birthday party  Jenna Rink wants to just hide until she's thirty. With a little magic  her wish is granted  but it turns out that being thirty isn't as always as awesome as she thought it would be!,/iSvz2Nk1vzgm7bEMqMazhQ1F3zA.jpg,Columbia Pictures,2004,Small,312,For some  13 feels like it was just yesterday. For Jenna  it was.,6.3,Comedy  Fantasy  Romance
The SpongeBob Movie: Sponge Out of Water,Action,74,http://www.spongebobmovie.com/,Chinese,Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true  which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger  SpongeBob  Patrick  Mr. Krabs  Squidward  Sandy  and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city  the gang must retrieve the book and transform themselves into superheroes.,/9wChSuUoQDiBKUnGTcYMkzRha60.jpg,Paramount Pictures,2015,Small,312,He's leaving his world behind.,5.7,Comedy  Family  Adventure
Fair Game,Action,50,,Chinese,Max Kirkpatrick is a cop who protects Kate McQuean  a civil law attorney  from a renegade KGB team out to terminate her,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,Silver Pictures,2001,Small,312,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,4.1,Action  Thriller  Romance
Quest for Camelot,Drama,40,,Chinese,During the times of King Arthur  Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur  and Kayley has to stop him.,/ePgK8gxGHVi1G3pYo0Geicbvur5.jpg,Warner Bros.,2014,Small,312,An evil knight gives nobility a bad name.,6.9,Fantasy  Family  Drama  Romance
Awake,Thriller,86,,Chinese,While undergoing heart surgery  a man experiences a phenomenon called ‘anesthetic awareness’  which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves  his wife must make life-altering decisions while wrestling with her own personal drama.,/yW2LVppyMyutKrZJNqRUVf4nPON.jpg,The Weinstein Company,2007,Small,312,Every year  one in 700 people wake up during surgery.,6.3,Thriller
The Departed,Thriller,90,http://thedeparted.warnerbros.com/,Chinese,To take down South Boston's Irish Mafia  the police send in one of their own to infiltrate the underworld  not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin  a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.,/tGLO9zw5ZtCeyyEWgbYGgsFxC6i.jpg,Vertigo Entertainment,2006,Small,312,Lies. Betrayal. Sacrifice. How far will you take it?,7.9,Drama  Thriller
Strange Days,SF & Fantasy,42,http://www.strange-days.com,Chinese,Set in the year 1999 during the last days of the old millennium  the movie tells the story of Lenny Nero  an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail  murder and rape. Will he survive and solve the case?,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,Lightstorm Entertainment,2003,Small,312,You know you want it.,6.8,Science Fiction  Drama  Thriller
The Pelican Brief,Drama,45,,Chinese,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,/kIvGL0pyXY3TzWHrUV0ytEJDgCX.jpg,Warner Bros.,2002,Small,312,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,6.3,Drama  Thriller
J. Edgar,Drama,35,http://jedgarmovie.warnerbros.com/dvd/,Chinese,As the face of law enforcement in America for almost 50 years  J. Edgar Hoover was feared and admired  reviled and revered. But behind closed doors  he held secrets that would have destroyed his image  his career and his life.,/upACO9i21lb5lG7ovf51m3lIPcv.jpg,Imagine Entertainment,2011,Small,312,The most powerful man in the world.,6.0,Drama
Spanglish,Comedy,80,,Chinese,Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky  a well-off couple with two children of their own. When Flor admits she can't handle the schedule because of her daughter  Cristina  Deborah decides they should move into the Clasky home. Cultures clash and tensions run high as Flor and the Claskys struggle to share space while raising their children on their own  and very different  terms.,/eXsj4d6kP5z1n9Pkk7rosX2TF9w.jpg,Gracie Films,2004,Small,312,Every family has a hero.,5.8,Comedy
Big Fish,Drama,70,,Chinese,Throughout his life Edward Bloom has always been a man of big appetites  enormous passions and tall tales. In his later years  he remains a huge mystery to his son  William. Now  to get to know the real man  Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.,/6DRFdlNZpAaEt7eejsbAlJGgaM7.jpg,Columbia Pictures,2003,Small,312,An adventure as big as life itself.,7.6,Fantasy  Drama  Adventure
Training Day,Thriller,45,,Chinese,On his first day on the job as a narcotics officer  a rookie cop works with a rogue detective who isn't what he appears.,/sDT2biSB7wzBJdXq9o3ldr7VfvY.jpg,Village Roadshow Pictures,2001,Small,312,The only thing more dangerous than the line being crossed  is the cop who will cross it.,7.3,Action  Drama  Thriller
47 Ronin,SF & Fantasy,175,,Chinese,Based on the original 1941 movie from Japan  and from ancient Japan’s most enduring tale  the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai  an outcast who joins Oishi (Hiroyuki Sanada)  the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland  the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.,/pUH46wa0n4zXZytpriSaoNUXai4.jpg,Mid Atlantic Films,2013,Small,312,For courage. For loyalty. For honor.,5.9,Action  Fantasy  Drama  Adventure
Coming to America,Romance,39,,English,Prince Akeem  heir to the throne of Zamunda  leaves the tropical paradise kingdom in search of his queen. What better place than Queens  New York to find his bride? Joined by his loyal servant and friend  Semmi  Akeem attempts to blend in as an ordinary American and begin his search.,/7v1Sy0HC5KEM1DMM4Bpy5gVly1K.jpg,Paramount Pictures,2013,Small,312,The Four Funniest Men in America are Eddie Murphy.,6.5,Comedy  Romance
Dark Shadows,SF & Fantasy,150,http://darkshadowsmovie.warnerbros.com,English,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,/6125p54Jnog3kFsY33oMQF3d1dJ.jpg,Village Roadshow Pictures,2012,Small,312,Every Family Has Its Demons,5.7,Comedy  Fantasy
Perfect Stranger,Thriller,61,,English,A journalist goes undercover to ferret out businessman Harrison Hill as her best friend's killer. Posing as one of his temps  she enters into a game of online cat-and-mouse.,/fKkabVcVNKTTgsR4ElklI5bXDU1.jpg,Columbia Pictures,2007,Small,312,How Far Would You Go To Keep A Secret?,5.4,Drama  Thriller
Resident Evil: The Final Chapter,SF & Fantasy,40,,English,Picking up immediately after the events in Resident Evil: Retribution  Alice (Milla Jovovich) is the only survivor of what was meant to be humanity's final stand against the undead. Now  she must return to where the nightmare began - The Hive in Raccoon City  where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.,/7XlaaMzQUz5EqTY0m07hn3PbGu7.jpg,Constantin Film,2016,Small,312,Back to the Hive,5.9,Action  Science Fiction  Horror
Fire Down Below,Action,60,,English,Martial arts star Steven Seagal stars in this action drama as Jack Taggart  an undercover agent working for the Environmental Protection Agency. When an EPA representative is murdered in a small Appalachian community  Taggart is sent in -- posing as a handyman working with a Christian relief agency -- to find out what happened.,/nflONy2WMEui7uCGCAtkD1r9vnl.jpg,Warner Bros.,2009,Small,312,One Man. One Secret. One Chance in Hell.,5.0,Action  Adventure  Thriller
The Lego Batman Movie,SF & Fantasy,80,http://www.legobatman.com,English,In the irreverent spirit of fun that made “The Lego Movie” a worldwide phenomenon  the self-described leading man of that ensemble—Lego Batman—stars in his own big-screen adventure. But there are big changes brewing in Gotham  and if he wants to save the city from The Joker’s hostile takeover  Batman may have to drop the lone vigilante thing  try to work with others and maybe  just maybe  learn to lighten up.,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,Lin Pictures,2017,Small,312,Always be yourself. Unless you can be Batman.,7.2,Action  Comedy  Fantasy  Family
This Means War,Action,65,http://www.thismeanswarmovie.com/,English,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,/8eqEw3NGdqAfGtHyCTiuoMb4RrM.jpg,Dune Entertainment,2012,Small,312,It's SPY Against SPY,5.9,Action  Comedy  Romance
Little Fockers,Comedy,100,http://www.littlefockers.net/,English,It has taken 10 years  two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law  Jack. After the cash-strapped dad takes a job moonlighting for a drug company  Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party  Greg must prove to the skeptical Jack that he's fully capable as the man of the house.,/qixmjH8fLD9IkboPO7FKxAqzwRJ.jpg,Paramount Pictures,2010,Small,311,Kids bring everyone closer  right?,5.5,Comedy  Romance
Horrible Bosses,Comedy,35,http://horriblebossesmovie.warnerbros.com/index.html,English,For Nick  Kurt and Dale  the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option  so  with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con  the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.,/17rVRW7ond0PR2KJHY0xY00isTB.jpg,New Line Cinema,2011,Small,311,Ever wish your boss was dead?,6.4,Comedy
Austin Powers: The Spy Who Shagged Me,SF & Fantasy,33,,English,When diabolical genius  Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’  Austin must return to the swingin' '60s himself – with the help of American agent  Felicity Shagwell – to stop the dastardly plan. Once there  Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.,/yhg0l1Ddd2thQOSUUQx9jBrGI12.jpg,New Line Cinema,2010,Small,311,I'm back  baby!,6.1,Comedy  Science Fiction  Adventure
Cloudy with a Chance of Meatballs,Family,100,http://www.cloudywithachanceofmeatballs.com/,English,Inventor Flint Lockwood creates a machine that makes clouds rain food  enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions  Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?,/75QV0rNm6QHpMnpIGrZK0ev08rH.jpg,Columbia Pictures,2009,Small,311,Prepare to get served.,6.5,Comedy  Family
The Rescuers Down Under,Action,38,,English,A lawless poacher wants to capture a majestic and rare golden eagle  so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents  heroic mice Miss Bianca and Bernard  fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat.,/vweXLAZP6E55EaMeedndhBdXQGu.jpg,Walt Disney Pictures,2013,Small,311,,6.6,Fantasy  Family  Adventure
War Horse,Drama,66,http://www.warhorsemovie.com/,English,Follows a young man named Albert and his horse  Joey  and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist  Albert heads to France to save his friend.,/6wMoQyJddEiLCzLUHiX7LNWhDol.jpg,DreamWorks SKG,2011,Small,311,Separated by War. Tested by Battle. Bound by Friendship.,7.0,Drama
Man on Fire,Thriller,70,,English,Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first  but eventually bond  and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.,/qAbRLPe8T7ehKzr1Tgo78T7ASrS.jpg,Regency Enterprises,2004,Small,311,Creasy's art is death  and he is about to paint his masterpiece.,7.3,Action  Drama  Thriller
Robin Hood,Action,200,http://www.robinhoodthemovie.com/,English,When soldier Robin happens upon the dying Robert of Loxley  he promises to return the man's sword to his family in Nottingham. There  he assumes Robert's identity; romances his widow  Marion; and draws the ire of the town's sheriff and King John's henchman  Godfrey.,/4gH0vhyOcl7QV3t81653CpWjEB6.jpg,Imagine Entertainment,2010,Small,311,Rise and rise again  until lambs become lions.,6.2,Action  Adventure
Heaven & Earth,Drama,33,,Other,Le Ly lives in a small Vietnamese village whose serenity is shattered when war breaks out. Caught between the Viet Cong and the South Vietnamese army  the village is all but destroyed. After being both brutalized and raped  Le Ly resolves to flee. She leaves for the city  surviving desperate situations  but surviving nonetheless. Eventually she meets a U.S. Marine named Steve Butler who treats her kindly and tells her he would like to be married -- maybe to her.,/hXSUatA39pbfwaqOGFHFdwswAXc.jpg,Regency Enterprises,2013,Small,311,An amazing true story of survival.,6.4,Action  Drama
Love in the Time of Cholera,Drama,45,http://www.loveinthetime.com/,Other,In Colombia just after the Great War  an old man falls from a ladder; dying  he professes great love for his wife. After the funeral  a man calls on the widow - she dismisses him angrily. Flash back more than 50 years to the day Florentino Ariza  a telegraph boy  falls in love with Fermina Daza  the daughter of a mule trader.,/4qSOnBIYUUBmzMNRCXwsMYiJ0oN.jpg,New Line Cinema,2007,Small,311,How long would you wait for love?,6.5,Drama  Romance
Eat Pray Love,Drama,60,http://www.sonypictures.com/movies/eatpraylove/,Other,Liz Gilbert had everything a modern woman is supposed to dream of having – a husband  a house and a successful career – yet like so many others  she found herself lost  confused and searching for what she really wanted in life. Newly divorced and at a crossroads  Gilbert steps out of her comfort zone  risking everything to change her life  embarking on a journey around the world that becomes a quest for self-discovery. In her travels  she discovers the true pleasure of nourishment by eating in Italy  the power of prayer in India and  finally and unexpectedly  the inner peace and balance of true love in Bali.,/s57E4AfPIU1fxwpGGRahk6A0DUl.jpg,Columbia Pictures,2010,Small,311,Let Yourself GO,5.8,Drama
Maze Runner: The Scorch Trials,Action,61,http://mazerunnermovies.com,Other,Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch  a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters  the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.,/vlTPQANjLYTebzFJM1G4KeON0cb.jpg,Gotham Group,2015,Small,311,The Maze Was Just the Beginning.,6.5,Action
Oblivion,SF & Fantasy,120,https://www.uphe.com/movies/oblivion,Other,Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs  Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.,/hmOzkHlkGvi8x24fYpFSnXvjklv.jpg,Universal Pictures,2013,Small,311,Earth is a memory worth fighting for,6.4,Action  Science Fiction  Adventure
